,__exception__,cocreateinstance,coinitializeex,coinitializesecurity,copyfilew,createactctxw,createdirectoryw,createprocessinternalw,createthread,cryptacquirecontextw,drawtextexw,findfirstfileexw,findresourcea,findresourceexa,findresourceexw,findresourcew,findwindoww,getcursorpos,getfileattributesexw,getfileattributesw,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,getnativesysteminfo,getsystemdirectorya,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,getvolumenameforvolumemountpointw,getvolumepathnamew,isdebuggerpresent,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupaccountsidw,lookupprivilegevaluew,messageboxtimeoutw,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntgetcontextthread,ntmapviewofsection,ntopendirectoryobject,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntresumethread,ntsetcontextthread,ntterminateprocess,ntunmapviewofsection,ntwritefile,oleinitialize,prf,process32nextw,readprocessmemory,regclosekey,regcreatekeyexa,regcreatekeyexw,regenumkeyexw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,regsetvalueexw,searchpathw,seterrormode,setfilepointer,setunhandledexceptionfilter,sizeofresource,timegettime,writeconsolea,writeconsolew,writeprocessmemory
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10862261432224181,0.024576371331121043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032320945415345574,0.0,0.0,0.0,0.0,0.05803168344654462,0.0,0.019305083273211596,0.0,0.0,0.0,0.0,0.010373458421110331,0.04145496056727593,0.05690577518345345,0.0,0.0987812755962013,0.0,0.0,0.0,0.0,0.0,0.06740226058085037,0.06087587633616403,0.031785502182687365,0.0,0.01807443474230974,0.0,0.0,0.0,0.01531337915801057,0.0,0.016683108880231307,0.0,0.0,0.04057897653732298,0.0,0.0,0.0,0.0,0.07502514301138462,0.0,0.0,0.0,0.0,0.0,0.029095293860245158,0.39103847109332135,0.0,0.0,0.0,0.0,0.0,0.04592826542783481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8914868335878583,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997276059919766,0.023339104900384235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
