,cocreateinstance,coinitializeex,couninitialize,createthread,createtoolhelp32snapshot,cryptcreatehash,cryptdecrypt,cryptencrypt,crypthashdata,deletefilew,drawtextexa,drawtextexw,findfirstfileexw,findresourceexw,findresourcew,findwindowa,findwindoww,getasynckeystate,getcursorpos,getfileattributesexw,getfileattributesw,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,getkeyboardstate,getkeystate,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettimezoneinformation,isdebuggerpresent,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,module32nextw,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntdeviceiocontrolfile,ntduplicateobject,ntenumeratekey,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntreadvirtualmemory,ntsetinformationfile,ntunmapviewofsection,ntwritefile,outputdebugstringa,process32firstw,process32nextw,readprocessmemory,recv,regclosekey,regcreatekeyexa,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeya,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,searchpathw,select,sendto,seterrormode,setfileattributesw,setfilepointer,setfilepointerex,shgetfolderpathw,sizeofresource,thread32next,timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7.json,0.018455272440090188,0.01689728265080324,0.015678246585222592,0.007167500332387116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016162716169328184,0.05980368148920844,0.07978003719963334,0.0,0.0,0.0,0.0,0.0,0.0,0.03385019720446777,0.005443039781618892,0.008873472564545822,0.031200307638674676,0.003638433448032834,0.0,0.0,0.005561165944176911,0.0032006844439860195,0.11411904370440945,0.044875758115814686,0.026148918281958148,0.0,0.0,0.06592133523761816,0.31162864279600155,0.05364826664450928,0.02237482379319064,0.05798740770000574,0.2908969771456863,0.13612696327774734,0.0,0.07410304645753923,0.4797066959423541,0.02811903002321539,0.15221518868396602,0.01602111790457753,0.5876538550443422,0.0,0.02218765330416715,0.0,0.05202217627012034,0.01681989176246487,0.019234568003180283,0.006000386897213117,0.03163693107467757,0.011483533383345308,0.0,0.0,0.013728117314616232,0.0,0.016402269661584343,0.014731026454189297,0.003525613793575536,0.0,0.003516316557134748,0.0551804542328145,0.006336650115755622,0.0,0.0,0.046122190380281806,0.0,0.0,0.0,0.0,0.0,0.0,0.16840719948943023,0.014755067861511578,0.0,0.0,0.00891893959163622,0.09053218778712663,0.02263437830350864,0.20576108659136758,0.0,0.01619867499344985,0.25131971562974137,0.004960132951511131,0.0,0.0,0.0,0.014680410613758934,0.005002644204542756,0.0,0.0,0.004099364924054448,0.0038313653176844124,0.0,0.0,9,0,0,3,15,0,17,0,0,1,0,0,13,0,0,11,2,0,0,8,2,0,60,126,2,1,0,0,2,6,1
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448.json,0.004415185270424751,0.006376493664723865,0.009228202392766354,0.0003062021009757641,0.0023124678410401255,0.0,0.0,0.0,0.0,0.0005853046561323378,0.0,0.0018412956331643813,0.004658875841811748,0.003817268439262753,0.0018472547840242385,0.0,0.0,0.0,0.0,0.005406072282382746,0.005181897964616686,0.0018602526845185807,0.0030326622294663415,0.0011424903252194082,0.0006217486791114529,0.0,0.01006229112394958,0.0015442572738877895,0.00027347227230125834,0.04147064116800542,0.03799409037251851,0.003942725133400862,0.0,0.0,0.010326136706937586,0.07259776751051226,0.016460027075221775,0.0031487572027016713,0.004172251851911268,0.015724442698991307,0.009086667296414063,0.0,0.04013526116920939,0.105055084650469,0.021622867398953888,0.002758751171835064,0.005703638803469531,0.0004707207099314739,0.0,0.0028436298886902788,0.0,0.004444868903392762,0.016913820427092906,0.007888494267700347,0.013457952834731812,0.02027337491646558,0.0,0.0008734163233117551,0.0072177175522826,0.006255761023865553,0.007192982505019175,0.003892887802377961,0.045940563092503425,0.015513593439573575,0.0014304703204148063,0.0,0.005238575432416092,0.05048693528096685,0.0,0.00025379991219859815,0.006080035005792546,0.0049549801283850685,0.0,0.0023659286532990947,0.08488216348703922,0.0011526283747367158,0.0,0.18248395422190958,0.0,0.012175764792641448,0.02106164918215407,0.07087068184867752,0.017561071766872462,0.01118912159892657,0.2835017232641368,0.0,0.0003075653581985785,0.9182238013426052,0.0,0.0,0.0,0.0,0.007024196788865054,0.001496022415597904,0.03240770697856538,0.0009820041788326183,0.0008756428979430359,0.0013094351508623327,0.0,0.0,8,0,0,9,13,0,49,0,0,2,9,3,27,5,0,48,22,0,6,26,4,4,808,2965,3,0,0,0,2,4,1
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a.json,0.0,0.01100719502244612,0.006808728611967733,0.01167259783902029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014038246870404853,0.0,0.1372012138736007,0.0,0.0,0.0,0.0,0.0,0.0,0.04593881181443067,0.014182777581308589,0.0,0.0,0.004740282489952275,0.0,0.0,0.009056609776370036,0.006254950918736434,0.1185663279916783,0.0,0.030059783865185506,0.0,0.0,0.06838966545165252,0.34573526880290234,0.03018188827845867,0.010288492395633505,0.09542916484623837,0.568486630374928,0.0036948150766229326,0.0,0.055635597451882575,0.3330065976713249,0.01498683590586102,0.012018875438015901,0.01391526064852447,0.586175258490889,0.0,0.030971652837806948,0.0,0.10166455486321575,0.013485269169702666,0.01336506123081705,0.0058631405551426465,0.0317059510006351,0.0,0.0,0.0,0.0,0.0,0.028492625661673526,0.0,0.006889945454845177,0.0,0.006871776291769359,0.022366116419959274,0.0020639041511746354,0.0,0.0,0.020602167506326246,0.0,0.0,0.0,0.0,0.0035151078149421727,0.0,0.14797215007300915,0.01922343525612557,0.0,0.0,0.0,0.0,0.04212697920509374,0.07101270840024074,0.0,0.02813895834699358,0.05209088203608916,0.006462240333293939,0.0,0.0,0.0,0.011475701458604723,0.006517625528941998,0.0,0.0,0.01335200165604656,0.00748746164555349,0.0,0.0,3,0,0,2,0,0,7,0,0,1,0,0,13,0,0,5,1,0,0,0,1,0,21,21,2,1,0,0,2,2,1
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010.json,0.015405428674809414,0.01322334935992205,0.007270734940946187,0.011218177844472146,0.0,0.0,0.0,0.0,0.0,0.02144352277390116,0.0,0.022486218319278065,0.06240095836188306,0.09323427478186944,0.0,0.4273216727299219,0.0,0.0,0.0,0.0,0.038263672372219684,0.005679431271069214,0.0,0.03255533855704524,0.17653496193604626,0.0,0.0,0.005802687658764378,0.0033396903291771246,0.15524999576428383,0.011351445946940927,0.028889541644171707,0.0,0.0,0.07770078572588865,0.3505660254906501,0.06870053480299348,0.01922658171210361,0.07005935166576312,0.3035306473856662,0.281118783092436,0.0,0.08911612697621858,0.4461887745923623,0.012002825823103209,0.15561729784825276,0.012537686891250538,0.3794024589959273,0.0,0.026458587651255357,0.0,0.054281501982651394,0.004050087808018511,0.014717945917995384,0.0062609839997183146,0.03301092457067143,0.0119822638114801,0.0,0.001916174035332966,0.0031831844744318223,0.0,0.015212996490526846,0.003842698917129119,0.003678731376640865,0.0,0.003669030360757305,0.05757694411493708,0.0,0.0,0.0,0.0261251516802953,0.0,0.0,0.0,0.0,0.0,0.0,0.13349357358084385,0.08211136637524795,0.0,0.0,0.0,0.09446400522238886,0.033739129261733315,0.06966998504543742,0.0,0.016902184257107003,0.09237807779788544,0.028465534752718586,0.0,0.0,0.0,0.015317981579609313,0.005219909292094652,0.0,0.0,0.004277400547360037,0.003997761704705921,0.0,0.0,9,0,1,2,15,0,16,0,0,1,0,1,13,0,0,5,0,0,0,6,2,0,41,73,6,1,0,0,2,7,1
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687.json,0.021112959628776334,0.02094149255001437,0.017936022796647882,0.010249587594017565,0.0,0.0,0.0,0.0,0.0,0.010449101118679449,0.0,0.028762625670914616,0.0,0.10222118558539631,0.0,0.0,0.0,0.0,0.0,0.0,0.035497788606501164,0.006226875248804597,0.010151314136947783,0.0,0.004162393091170823,0.0,0.0,0.00636201239778388,0.003661605195463537,0.1916980425118511,0.043559666542359515,0.02815486476687084,0.0,0.0,0.07960415704519506,0.40524629080871993,0.08090207641546594,0.013551328351291865,0.07681241695045787,0.3361839562906034,0.30821600066353283,0.0,0.09626923268502464,0.48919719320427263,0.032168365306320834,0.18292993986678877,0.01680091413297472,0.22689452855078274,0.0,0.029008947674599144,0.0,0.059513730342241944,0.014801594457589594,0.022004479156099297,0.0034322421066703018,0.019488467653910012,0.0,0.0,0.0021008752643590996,0.017450068211219864,0.0,0.018764310215928778,0.0126392972994855,0.004033326624250772,0.0,0.004022690521301289,0.012625364445817517,0.007249171666792015,0.0,0.0,0.05276410557745564,0.0,0.0,0.0,0.0,0.0,0.0,0.22402209749543137,0.06751959974391507,0.0,0.0,0.010203328731179118,0.10356945052202446,0.03514170203748707,0.2416276622534539,0.0,0.01853139650398486,0.29077867327835344,0.028372132434937372,0.0,0.0,0.0,0.006717796610769237,0.005723059655202085,0.0,0.0,0.004689701895550037,0.004383108487721111,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,2,0,68,109,5,1,0,0,2,3,1
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09.json,0.021530284294964445,0.01971270272303747,0.01829055124069186,0.012542620571560035,0.0,0.0,0.0,0.0,0.0,0.013319551218044845,0.0,0.01885574299886921,0.0,0.09307296262067812,0.0,0.5145239167459834,0.0,0.0,0.0,0.0,0.032908588932993664,0.006349957406886335,0.010351967851919998,0.0,0.2122334058701976,0.0,0.0,0.006487765714555777,0.0037339815080590835,0.13313352389683827,0.04600713192155249,0.026916920343684255,0.0,0.0,0.06123926857056881,0.33514960328604804,0.05547495120848516,0.013819187698349033,0.06764925185266096,0.33936614259278824,0.15880839630486443,0.0,0.07472802956278163,0.35047865960311075,0.029822012921622083,0.008968547318809892,0.015575459728759837,0.23566419277894834,0.0,0.029582346649334557,0.0,0.06069009538463202,0.01660358360568033,0.01944750240043803,0.0035000847642904444,0.0198736821572855,0.0,0.0,0.0021424017525358942,0.016015492026888057,0.0,0.01913521082080842,0.012889129185639956,0.004113050486593544,0.0,0.0041022041474578054,0.012874920931288779,0.00739246082185017,0.0,0.0,0.052269711201493714,0.0,0.0,0.0,0.0,0.0,0.0,0.20408216164218793,0.017213552760117632,0.0,0.0,0.010405010581171539,0.10561663325369035,0.0358363227505437,0.24004493596797272,0.0,0.018897693271278646,0.2931945298560712,0.02025306075905149,0.0,0.0,0.0,0.006850582457822524,0.005836183253322672,0.0,0.0,0.002391199927560275,0.004469746236225655,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,1,0,60,109,2,1,0,0,2,2,1
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e.json,0.0,0.006700484699701878,0.006217085523952183,0.006394985894224021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004272798754540552,0.0,0.04175971409909152,0.0,0.0,0.0,0.0,0.0,0.0,0.015100908517654546,0.002158394667965877,0.0,0.0,0.004328376607040181,0.0,0.0,0.0033078550046941307,0.0019038094102499959,0.03608784367806742,0.0,0.012808947694485599,0.0,0.0,0.018879313301214805,0.974592517819158,0.05946993729598921,0.0015657459902218896,0.0290456223249259,0.17302936674805003,0.0016868774359853698,0.0,0.007470757871494095,0.06917233526256826,0.0030410128550579165,0.005487248850580801,0.0031765242261198286,0.050246990237550866,0.0,0.013197509436210559,0.0,0.030943478014782935,0.0015391836809700568,0.00305092673831927,0.0017845547163388225,0.008685260650984508,0.0,0.0,0.0,0.0,0.004658120399516976,0.008672254916491422,0.0,0.0020970816819284076,0.0,0.0020915515628132444,0.0058350335092409635,0.0,0.0,0.0,0.0015676621959015299,0.0,0.0,0.0,0.0,0.0,0.0,0.0357198301641595,0.014627515632583306,0.0,0.0,0.0,0.0,0.015386545565847214,0.029178933095687313,0.0,0.008564609761392181,0.020384766615221695,0.0,0.0,0.0,0.0,0.003492840904741218,0.0,0.0,0.0,0.0024383564375200575,0.002278946729540486,0.0,0.0,0,0,0,1,0,0,28,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,18,19,0,1,0,0,2,0,1
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432.json,0.0,0.028402230052003576,0.026353182078324506,0.027107271889621615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018111676786274074,0.0,0.17701241923603916,0.0,0.0,0.0,0.0,0.0,0.0,0.06401021671339202,0.00914907273876952,0.0,0.0,0.018347261974993485,0.0,0.0,0.014021442184051875,0.008069928560167515,0.15297031247169593,0.0,0.05429497946007508,0.0,0.0,0.08002624043433926,0.44810221403761974,0.0430385751352252,0.006636934462258061,0.12311951810185628,0.7334424448949597,0.007150390330496852,0.0,0.0696680352429656,0.293209919492719,0.01289034309776098,0.02325952691358616,0.013464753055854622,0.03704148840121954,0.0,0.05594202746816478,0.0,0.13116420984053329,0.00652434129148094,0.012932366384988275,0.007564427928042034,0.03681536219041763,0.0,0.0,0.0,0.0,0.0,0.03676023306474641,0.0,0.00888917728155148,0.0,0.008865736034781552,0.024733727710472237,0.0,0.0,0.0,0.006645056936523621,0.0,0.0,0.0,0.0,0.0,0.0,0.15141036495256732,0.06200358372647195,0.0,0.0,0.0,0.0,0.06522098422018215,0.12368460008461851,0.0,0.03630394331913319,0.08640760436147088,0.0,0.0,0.0,0.0,0.014805566366851377,0.0,0.0,0.0,0.010335783691933494,0.009660072694673857,0.0,0.0,0,0,1,1,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,18,19,0,1,0,0,2,0,1
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3.json,0.003135282810525633,0.007973897133014982,0.009864838671020709,0.0015220677898090857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010169669588320019,0.0004980282899279961,0.009939211249749938,0.0,0.0,0.0,0.0,0.0,0.007298697079429997,0.004792214156893439,0.0005137185689140872,0.0018843426784678884,0.0,0.0010301950191460756,0.0,0.0,0.0015746022397175742,0.0004531248433079719,0.008998263849961032,0.05275011807152046,0.003484173744796767,0.0,0.0,0.007949962533510827,0.25471050191524935,0.018987628148343438,0.0007453250337555742,0.007345206829015566,0.04118264374220752,0.008832845102244533,0.0,0.04623090697202144,0.08300437254051797,0.01845664848785988,0.0013060176939060173,0.0037802156940581473,0.0020798720214876667,0.0,0.003589866784618722,0.0,0.0073648436400001885,0.014653617331792908,0.005446123018415037,0.01826386669278095,0.015503813106413303,0.0,0.0,0.007279552075206833,0.005182683988138555,0.0016630157920038064,0.003096119387533088,0.019812151001152575,0.021462396155154568,0.0035552871649851777,0.0009956185415070987,0.0031247859781851086,0.01928737845999686,0.0,0.0,0.002984948737213916,0.0005296814862117401,0.0,0.0,0.0,0.0,0.0,0.14896388834861946,0.003481488584578885,0.0,0.0,0.07007792278468832,0.008313569808556858,0.00503544932868698,0.22995219922262156,0.0,0.002038459015503633,0.9153671540197758,0.0,0.0,0.0,0.0,0.004987977197106228,0.0,0.0005507420822448165,0.0008135568661438594,0.000580352146980498,0.00108482222450476,0.0,0.0,1,0,1,2,1,0,37,0,0,0,1,0,20,0,0,24,13,0,1,9,1,0,351,2234,1,0,0,0,2,0,1
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2.json,0.0,0.013432370467016229,0.011078494861930079,0.014244379078092333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017131242999345354,0.0,0.16743026079908382,0.0,0.0,0.0,0.0,0.0,0.0,0.056060343970251954,0.01730761763872998,0.0,0.0,0.00578469177601607,0.0,0.0,0.011052019832784678,0.007633081618172316,0.14468961794991897,0.0,0.03668274725869973,0.0,0.0,0.0834577129403627,0.4238452357454167,0.036831754495456975,0.0188329780371035,0.11645472738137906,0.6937392323085035,0.004508880311024681,0.0,0.06989045750936575,0.44296990201334424,0.01828883122406686,0.014666950767305873,0.016981159668281703,0.011678777662736534,0.0,0.037795525022031,0.0,0.1240639383150981,0.014399376007675761,0.016309736804026836,0.007154945095118461,0.03869160844167093,0.0,0.0,0.0,0.0,0.0,0.03766782798968461,0.0,0.008407982202394748,0.0,0.00838580989337212,0.027293961908430267,0.0025186366835925726,0.0,0.0,0.058663193200120554,0.0,0.0,0.0,0.0,0.004289578798733263,0.0,0.13698741395224556,0.02345886517704275,0.0,0.0,0.0,0.0,0.05140866407701353,0.08665868144909558,0.0,0.034338713205497445,0.06356787755968145,0.007886042359264784,0.0,0.0,0.0,0.0140041012307422,0.007953630374632535,0.0,0.0,0.016293799860409394,0.009137146973007739,0.0,0.0,3,0,1,2,0,0,7,0,0,1,0,0,13,0,0,5,1,0,0,0,1,0,21,21,2,0,0,0,2,2,1
