,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,3665.25,3300.5,3959.5,3693.75,2661.0,2709.0,3497.25,3195.75,2841.25,3027.0,3235.5,3852.25,3009.0,3598.25,3810.0,4423.0,3641.0,3917.75,1
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,4265.5,2788.25,3453.0,3511.75,3082.5,2940.25,3598.5,3171.0,2866.5,3253.75,3681.75,4111.25,2757.0,3641.25,3813.25,3943.0,3139.0,4121.75,1
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,4256.75,3744.5,3319.25,3587.75,2769.0,2681.75,3772.5,2950.25,2841.25,3027.0,3235.5,3852.25,2999.75,3706.25,3810.0,4090.25,3615.75,3917.75,1
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,3724.25,2709.0,3481.25,3511.75,2744.25,3044.25,3354.5,3195.75,2866.5,3253.75,3681.75,4111.25,2655.0,3775.25,3778.5,3969.25,3008.75,4255.75,1
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,4020.75,3224.75,3303.5,3235.0,2686.25,2631.75,3847.25,3113.0,3053.25,2812.5,2686.75,3054.75,3221.0,3605.0,4281.5,4193.5,3162.75,3843.0,1
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,3720.75,3231.25,3690.75,3559.75,3169.25,2708.5,4152.75,3297.5,3073.5,2837.75,3127.5,3436.75,3111.5,3672.0,3774.0,4182.5,3205.75,4087.5,1
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,3773.25,3234.25,3969.0,3532.5,3169.25,2735.75,3847.25,3168.75,3073.5,2811.5,3033.0,3434.75,3111.5,3706.25,3495.75,4316.5,3232.5,3760.25,1
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,4678.25,3221.75,3269.25,3099.75,2686.25,2631.75,3847.25,3247.0,3053.25,3166.5,2813.5,3054.75,2893.75,3605.0,4147.5,4193.5,3056.75,3877.75,1
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,3826.75,2857.5,3319.25,3719.0,2800.75,3063.0,3800.75,2923.5,2949.25,2889.75,3562.75,3846.75,2789.75,3672.0,4148.25,3746.5,3615.75,4053.75,1
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,4122.75,2735.75,3371.25,3511.75,3144.5,3044.25,3498.5,2927.0,2866.5,3253.75,3653.5,3767.5,2791.75,3735.5,3778.5,3843.0,3383.0,4156.5,1
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,3589.5,3528.25,3168.75,3235.0,3069.5,2939.75,3779.25,3219.0,3379.25,2525.25,2972.5,3279.5,3709.0,3272.25,3949.5,3412.5,3664.5,3759.75,1
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,4645.5,3147.5,3398.0,3453.75,2874.5,2709.0,3462.5,3090.25,2843.25,3469.75,4035.75,3846.75,3165.0,3672.0,3702.0,4260.5,3233.5,3563.75,1
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,4265.5,3143.0,3125.5,3099.75,2850.75,3371.5,3706.5,3239.0,3321.25,3172.5,2789.25,3531.0,2843.75,3910.5,4147.25,3855.25,3239.5,3912.5,1
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,3849.5,3215.25,3368.75,3235.0,2704.5,3041.75,3462.5,3123.0,3239.5,3243.75,2814.0,3715.5,2706.5,3706.25,4147.25,4560.5,3231.0,4052.75,1
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,3826.75,3453.75,3715.5,3585.0,2687.25,2819.0,3741.25,3462.25,2924.5,2917.0,2789.25,3881.0,3115.0,3672.0,3810.0,4182.5,3285.5,4087.5,1
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,4249.25,3806.5,3319.25,3719.0,2769.0,2681.75,3807.25,2950.25,2841.25,3027.0,3235.5,3852.25,2999.75,3706.25,3810.0,4090.25,3615.75,3917.75,1
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,3849.5,3631.0,3646.5,3315.75,2678.25,2706.5,3849.25,3148.25,3107.25,3377.75,2840.75,3374.25,2706.5,3740.5,3903.5,3900.5,3237.5,3673.75,1
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,3691.5,3110.25,3269.25,3532.5,3194.5,2708.5,3847.25,3675.5,3073.5,2837.75,3127.5,3328.75,3252.25,3672.0,3666.0,4182.5,3205.75,4087.5,1
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,3776.75,3744.5,3319.25,3693.75,2769.0,2681.75,3772.5,2950.25,2841.25,3027.0,3235.5,3852.25,2999.75,3706.25,3810.0,4090.25,3615.75,3917.75,1
Backdoor.Graybird-201267f2b8c394b866ce09e16997ce04701a0bdaa1f5651e81d1675af4a567a6,3849.5,2815.5,3481.25,3511.75,2744.25,3035.75,3389.25,3439.75,3073.5,3253.75,3681.75,4111.25,2655.0,3741.0,3778.5,3969.25,3008.75,4255.75,1
Backdoor.Graybird-20459a8ebc99703a2171b85dc321c41ccb8fdd67b606ac75c890156db25d67e2,4509.5,3091.0,3125.5,2865.5,3094.75,3404.25,4010.5,3239.0,3321.25,3172.5,2762.5,3531.0,3176.5,3910.5,4147.25,3822.5,3205.75,3912.5,1
Backdoor.Graybird-21f994f2239ccaaddf25e98859f58e609dbc589127160c943dd884506d0f1e95,4338.5,3389.75,3377.25,3235.0,2686.25,2964.5,3814.5,2869.0,2949.25,3243.75,2787.25,3508.5,2810.5,3706.25,4247.25,4193.5,3137.5,3843.5,1
Backdoor.Graybird-22772293d3a3b20b3610ae1c06ab72da41745c57356905855180b45c5d43ae96,4215.5,3233.5,3715.5,3559.75,2687.25,2709.0,3741.25,3462.25,2818.5,3027.0,2897.25,3852.25,2871.0,3672.0,3810.0,4526.25,3313.75,4087.5,1
Backdoor.Graybird-22c98fc9dac84f509083a90a332517ead8eb265fc53ddb1d16e5cfd0dab0ebe1,4170.5,2997.75,3808.5,3511.75,2772.5,3035.75,3664.5,2872.5,3179.5,3359.75,3715.5,4111.25,2761.0,3741.0,4112.25,4105.25,3224.5,3987.75,1
Backdoor.Graybird-23259ea20d4f481cdc1bf58894f6280ddbe3fc56d7bfbaaf11bafdf4840f8c2c,3769.25,3269.25,3446.25,4017.5,3540.5,2907.0,3910.25,2818.5,3867.75,3536.75,2479.25,3244.5,3088.5,3153.0,3780.75,3865.75,3537.75,4011.5,1
Backdoor.Graybird-2486e00f3531d89506d2a87525b723d2508b4b8c0040824956aeca41b97d17d7,4256.75,3546.0,3646.5,3235.0,2786.25,2964.5,3497.25,3495.0,3107.25,3243.75,2813.5,3712.5,2681.75,3740.5,3903.5,4091.75,3264.75,3674.75,1
Backdoor.Graybird-2565563f99f161ad465a603000f5a2440b83b12413930bac01d20c6d3924f79e,3826.75,3116.75,3235.5,2871.5,3438.5,3428.5,4010.5,3212.25,3321.25,3147.75,2662.5,3564.75,2843.75,3910.5,4147.25,3822.5,3205.75,3877.75,1
Backdoor.Graybird-272ea0be5ed16c1b6a1d0149a85107e382cf7dab94eb40fb49ec17acd3c00b0b,3796.5,3589.25,3646.5,3313.75,2678.25,3041.75,3497.25,3173.5,3188.5,3681.0,2891.25,3740.75,2706.5,3706.25,4247.25,4424.5,3177.5,3641.0,1
