,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,1.4028052,0.42790437,0.49553022,-0.4555498,-0.6929078,0.96765983,0.57775575,-0.13582917,0.9325778,-0.6595396,0.20274349,-0.5322686,-0.63251084,0.2989458,-0.018268952,0.038968056,0.31014624,0.097304955,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,1.6630388,-0.0649401,-0.13331129,-0.6139697,-0.3613585,0.312692,0.4052622,0.02179537,0.99831885,-0.32788846,0.26738113,-0.0092532085,-0.441245,0.07535631,0.039858054,-0.29203275,0.87396914,0.324394,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,1.1638533,0.08120209,0.64181995,-0.82770365,0.12140006,0.8291401,-0.11703933,0.21946277,0.82078785,0.069249764,-0.16164969,0.15507954,-0.48665664,-0.36103103,0.43079957,-0.85218245,0.558815,-0.10095649,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,1.3171849,-0.48481974,-0.5708985,-1.1924351,-0.19684885,0.48978856,-0.31680343,0.43352675,1.0339593,-0.10520734,0.5394705,-0.31106633,-0.8820062,-0.32743588,0.28493455,-0.2796182,0.65421027,0.9284057,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,0.5673419,-0.15075581,0.009419113,-0.8644264,-0.4751159,1.1588551,0.041825358,0.9076306,-0.0351394,-0.82521546,0.5438745,-0.65895134,-0.86234313,-0.41139704,0.60773575,-0.74850386,0.17395642,0.84937274,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,1.7438766,-0.21962962,-0.9421049,-1.1729436,0.032875884,0.56305146,0.022282787,0.5880442,0.9343943,-0.17275842,0.9701336,-0.037817907,-1.178715,-0.7759476,0.13616957,-0.5912595,0.50660783,-0.30658662,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,0.9797085,0.014694331,0.08999869,-0.946732,-0.16232845,0.7530995,0.35456163,1.1564461,-0.27949485,-0.29868245,0.6636519,-0.9536943,-0.36380923,-0.6240103,0.06824781,-0.9927827,0.33126923,1.0215385,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,1.4617485,0.15213208,0.68673915,-0.37343702,-0.67945194,0.9344308,0.10964961,0.36650366,1.0615379,-0.56851035,1.4277254,-0.024885474,-0.5205927,0.11424853,0.1382584,-0.46888405,-0.31048948,0.13895126,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,0.8708951,-0.036803655,-0.027858164,-0.63001853,0.0028753227,0.8601091,0.7054179,0.5315965,0.4643219,0.41018066,-0.18214792,-0.9791053,-1.1295124,-0.08952475,0.1331327,-0.34623,-0.40859446,-0.080159664,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,0.9628318,0.2574136,0.115998484,-0.54413044,0.1036675,0.64050734,0.35987395,0.1470703,0.61294454,-0.46335208,0.8142007,-0.4739561,-0.6029584,-0.3447991,0.16491944,-0.49796063,-0.04272571,0.0054111495,1.0
