,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,LABEL
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,0.022448832,0.014943511,0.012935667,-0.067372814,0.07756853,-0.016007857,-0.048547067,-0.09553147,0.05603229,-0.0429954,-0.002909309,-0.04249571,0.10079956,-0.27293605,-0.14295118,0.003237972,0.0060720774,0.04298929,-0.20096986,0.0067122015,0.077440605,-0.11809346,-0.029015716,-0.27350384,0.050169833,-0.076812,0.18786904,-0.04762846,-0.002065725,0.025042986,0.16188714,-0.049685974,-0.038482293,-0.012683224,0.074943595,-0.07809115,-0.07792901,-0.10355823,0.12714,-0.016968539,-0.013295877,0.11335748,-0.025334876,-0.2080096,0.07027252,-0.09825746,-0.07050408,0.19417548,-0.013937452,0.03131163,0.058324262,-0.031550657,-0.009982332,0.045661222,-0.07709199,-0.08347031,-0.010658015,0.004132129,-0.012196845,0.008310357,0.030505745,0.03941051,0.037652306,0.054872155,0.015190435,0.0020900567,0.07186565,-0.004229697,0.058848444,0.0020988497,-0.009664169,-0.07679714,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,0.010584344,0.020250367,0.03071427,-0.08650686,0.078328826,-0.0018843099,-0.02014718,-0.081647374,0.07123574,-0.04168165,-0.02057818,-0.045384746,0.10247734,-0.27314895,-0.14654365,0.007733976,-0.003291021,0.055429112,-0.22456126,0.010321587,0.07166713,-0.13839917,-0.028558163,-0.28702092,0.051166203,-0.09309313,0.2279196,-0.03844878,-0.018143198,0.027757857,0.18722229,-0.049030263,-0.024430783,-0.017083053,0.071728066,-0.09393442,-0.06998895,-0.099547975,0.13483587,-0.0041517983,-0.015670203,0.0828574,-0.00074022653,-0.16939265,0.042950034,-0.065284535,-0.052090414,0.16000122,-0.00798386,0.025750436,0.047844797,-0.0069167903,-0.0049648597,0.03139835,-0.05738025,-0.055728603,-0.01001239,0.011266936,-0.012331071,-0.010114165,0.040518086,0.032210134,0.023701437,0.040907126,-0.019942611,-0.02506399,0.033990864,-0.04922707,0.06574465,0.0011696465,-0.03170904,-0.036327366,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,0.0094649065,0.021887267,0.0058478788,-0.05433375,0.07090494,-0.013543378,-0.058194917,-0.093320794,0.033533353,-0.05373857,-0.0055880235,-0.042472713,0.10324727,-0.25265446,-0.14057192,0.011884085,-0.0020942008,0.05150848,-0.20272908,-0.0011419636,0.07917538,-0.12541664,-0.03799409,-0.2616231,0.045670033,-0.08594962,0.20431668,-0.05851566,-0.002663016,0.029265303,0.17700812,-0.054959677,-0.03339449,-0.026347676,0.07002457,-0.09008249,-0.082289584,-0.11756962,0.13515256,-0.013273451,-0.012844347,0.11093179,-0.019833038,-0.19643164,0.06413362,-0.09589714,-0.08293108,0.18498385,-0.011887725,0.0072478596,0.055344038,-0.037226595,0.0014451594,0.04022442,-0.09441763,-0.07881408,-0.008853104,0.008046652,-0.0053860215,0.016019337,0.025987228,0.038898457,0.046536267,0.04541671,0.002039127,-0.013638726,0.038417988,-0.016519338,0.06324386,0.0015748446,-0.007564585,-0.042205147,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,0.004157742,-0.0039706556,0.053625725,-0.07172375,0.035096277,-0.011460756,-0.0058319666,-0.01583003,0.062759176,-0.029225595,-0.013297626,-0.044272356,0.08856848,-0.25237834,-0.12793161,0.006363802,-0.008743025,0.050479848,-0.21163295,0.013111303,0.061062712,-0.13211353,-0.028220505,-0.2674919,0.07878897,-0.09304052,0.22540829,-0.03085158,-0.00832706,0.03760695,0.18945001,-0.039281692,-0.028728811,-0.013626755,0.071797274,-0.07544443,-0.07193313,-0.09298563,0.1290791,-0.011905724,-0.0030142278,0.08785526,-0.014712116,-0.19137578,0.06804496,-0.0787375,-0.06120979,0.1735174,-0.005032691,0.020266036,0.07022409,-0.04716044,0.0033236446,0.03856471,-0.09523888,-0.07249225,-0.027423393,0.0046847262,-0.0156089645,0.005741598,0.05057019,0.038158674,0.051233146,0.04595897,0.016210105,-0.007173664,0.075312234,-0.04910995,0.050449826,-0.015684688,-0.01649983,-0.057204336,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,0.009524972,0.049614355,-0.009309613,-0.04825024,0.03369263,-0.0126657225,-0.085322276,-0.06503442,-0.03693355,-0.12686743,-0.0029601618,-0.044679906,0.13898663,-0.2768173,-0.15138775,0.030182095,-0.00030117112,0.039156035,-0.17182104,0.0101391645,0.04719163,-0.11494183,-0.021587124,-0.22566603,0.0363168,-0.08460736,0.16184068,-0.100575395,0.06393399,0.0053333887,0.15705603,-0.0742056,-0.031616256,-0.027425054,0.06758038,-0.09994552,-0.07442627,-0.13352689,0.16720985,-0.00940219,-0.021943728,0.12228501,-0.034801602,-0.1889879,0.07288585,-0.10702509,-0.08303088,0.18079993,-0.0046683247,-0.03586483,0.045949593,-0.09413197,-0.008876029,0.04454363,-0.12839176,-0.08469767,-0.021493858,0.0049452675,-0.00020271009,0.026957935,0.02945428,0.038364056,0.050715942,0.04706725,0.02719117,-0.02723074,-0.0032120114,-0.04606973,0.0031022804,-0.04810739,0.019979067,0.0028541086,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,-0.009497584,0.07509468,-0.016457679,-0.036061816,0.07889932,-0.03522334,-0.103323765,-0.09124013,-0.020441575,-0.1308617,-0.026179451,-0.027987065,0.118738085,-0.2636361,-0.1337826,0.031904306,-0.010197337,0.03946749,-0.14614385,-0.0017252192,0.056011833,-0.07055661,-0.0386083,-0.18994677,0.050386373,-0.07361308,0.15979438,-0.06652271,0.038243935,0.018384578,0.15694259,-0.04915274,-0.019496398,-0.03209026,0.07105253,-0.10647388,-0.07785191,-0.116600014,0.15716843,-0.013298126,-0.032850705,0.15011963,-0.032062285,-0.20555495,0.06750373,-0.092323564,-0.09418513,0.18640946,-0.0019300717,-0.012124347,0.053074807,-0.08011073,-0.00605081,0.044202004,-0.11387001,-0.07395904,-0.00809513,0.0068752086,-0.014033829,0.024190156,0.032740958,0.040078774,0.052501228,0.0483858,-0.0145594785,-0.05931395,-0.022591302,-0.0465398,0.032238167,-0.02507242,-0.026141254,-0.00036206015,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,-0.021717245,0.030516356,0.023489995,-0.02864355,0.029654901,-0.025818212,-0.039728053,-0.021706268,0.013703941,-0.08843051,-0.006053899,-0.054536387,0.09897997,-0.23511808,-0.11127419,0.022611884,-0.0035416721,0.055006813,-0.2167936,0.011039228,0.058229905,-0.14026299,-0.020058965,-0.28333735,0.07565866,-0.09079884,0.2055521,-0.049533788,0.030241188,0.030336495,0.17494327,-0.036538016,-0.018244863,-0.0124906795,0.072844446,-0.07979316,-0.0647749,-0.1018118,0.14799225,-0.012421534,-0.0076519446,0.08139735,-0.01307917,-0.17158006,0.056745782,-0.06735995,-0.061770376,0.15059786,-0.011527109,-0.0018323783,0.05612709,-0.060839675,0.0021748785,0.04189941,-0.1036659,-0.07302027,-0.018889138,0.0115073,-0.014084108,0.016667211,0.042597245,0.038818188,0.04546798,0.046685737,0.005395454,-0.02915808,0.050712183,-0.06995291,0.041202165,-0.030791393,-0.015731666,-0.03141448,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,-0.014849907,0.041791946,0.048124865,-0.0798209,0.041459188,-0.015595929,-0.028834065,-0.02667359,0.04744862,-0.07898012,-0.010559712,-0.05215909,0.10400311,-0.28516412,-0.1411034,0.019380443,-0.0054316563,0.046414204,-0.22260787,0.002105139,0.06714251,-0.14085968,-0.040861085,-0.29852042,0.084957734,-0.094389886,0.22421457,-0.028596837,0.008402185,0.03329453,0.1875633,-0.02933031,-0.024374917,-0.0133388685,0.06563564,-0.08268404,-0.07300533,-0.10594892,0.14663643,-0.004959051,-0.005728255,0.064284936,-0.0047380393,-0.13717823,0.037964996,-0.04731128,-0.044419456,0.117871106,-0.0030770293,0.015548558,0.05775322,-0.029221214,0.002029818,0.03360596,-0.07138373,-0.057611737,-0.006143197,-0.00064686505,-0.013819083,0.011228326,0.02458857,0.027399343,0.03524295,0.035630208,0.011379063,-0.029249717,0.054312546,-0.05822118,0.06866898,-0.030647617,-0.010838908,-0.04579215,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,-0.010692726,0.06891897,-0.006855188,-0.05180498,0.08528843,-0.017914472,-0.07719557,-0.09920622,-0.016334211,-0.11527402,-0.011312859,-0.029841224,0.121667,-0.26584756,-0.14492887,0.023988709,-0.020936806,0.036624912,-0.18737218,0.0008290842,0.07065098,-0.10936353,-0.045067765,-0.2556986,0.054175142,-0.09616971,0.19224425,-0.06349802,0.031209113,0.018423613,0.18083906,-0.047436863,-0.0213262,-0.031171232,0.07141563,-0.11332443,-0.07884995,-0.121662125,0.16171093,-0.012097082,-0.01967956,0.107186414,-0.03258652,-0.16434307,0.06657665,-0.09831674,-0.07175721,0.16883148,-0.0058119297,-0.02211154,0.033880524,-0.05427581,0.0013479756,0.041342292,-0.105448194,-0.09565568,0.0027650492,0.0050205626,0.00092064455,0.022909336,-0.0039185295,0.03431892,0.040955555,0.044762842,-0.015140878,-0.058710873,-0.033687863,-0.059650436,0.06813583,-0.030573627,-0.005487764,0.030907944,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,-0.013798106,0.044248715,0.005623861,-0.041667853,0.03449593,-0.023608547,-0.055488773,-0.041936044,0.008869973,-0.10438887,-0.013582703,-0.045461453,0.11447236,-0.26392147,-0.12507388,0.027203867,-0.01296497,0.04491193,-0.17658076,0.004285849,0.060621146,-0.10945333,-0.029495763,-0.21993873,0.062084112,-0.084416404,0.19722362,-0.063821346,0.01935522,0.017720826,0.18162642,-0.050068103,-0.026213013,-0.023277074,0.07039306,-0.0937558,-0.06658869,-0.107433714,0.14369427,-0.011939743,-0.020348184,0.120569624,-0.015497315,-0.20548362,0.067028284,-0.09209728,-0.075280234,0.18664359,-0.008547326,-0.01181937,0.052581716,-0.06751747,-0.0047861137,0.043819495,-0.11789926,-0.07599299,-0.018305818,0.0035921526,-0.015713375,0.013361036,0.047896434,0.046185836,0.048708245,0.045447353,-0.0029065926,-0.028371882,0.036671583,-0.052021064,0.032148417,-0.024323722,-0.027427003,-0.029781897,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,-0.006444385,0.037771937,0.033336993,-0.06365101,0.03017412,0.011269366,-0.010663636,-0.008447662,0.017571425,-0.089914665,-0.004439828,-0.041247603,0.11357222,-0.2720469,-0.13808227,0.016148575,0.010346903,0.049630705,-0.21999227,0.0103236195,0.06144875,-0.14897114,-0.025445081,-0.28652284,0.060610354,-0.103673264,0.20866273,-0.067001924,0.03429565,0.022455307,0.18452166,-0.061315536,-0.03530205,-0.024274554,0.07693963,-0.102278545,-0.07475785,-0.117418304,0.15392175,-0.013210735,-0.013909048,0.085040525,-0.008751647,-0.16199936,0.06190769,-0.06926757,-0.05900512,0.1350638,-0.013021455,-0.010546759,0.04548206,-0.06691157,-0.0061135245,0.030165102,-0.10830679,-0.05933946,-0.027327575,0.006316986,-0.015368958,-0.0014698561,0.053060897,0.028063282,0.045486264,0.029969363,0.035942018,0.0017779982,0.03764263,-0.044498015,-0.03424977,-0.047012057,-0.0024596495,-0.02992062,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,-0.016398154,0.065969884,0.024181088,-0.07871352,0.041232847,-0.0068428447,-0.04823984,-0.032372326,-0.012038244,-0.108977415,-0.016837427,-0.045402363,0.12630972,-0.27134466,-0.14278615,0.02651721,-0.018556755,0.04193446,-0.18758342,0.012176056,0.064689,-0.12412269,-0.028646396,-0.24669981,0.06555505,-0.09743901,0.20833904,-0.06198463,0.041894984,0.02696107,0.18141459,-0.053200167,-0.019956987,-0.02901994,0.06795393,-0.099582374,-0.06882533,-0.11521879,0.1587911,-0.00525981,-0.010244542,0.07781567,-0.023477888,-0.13585202,0.057320103,-0.06603721,-0.05250298,0.123999074,-0.012047495,-0.021740936,0.052222934,-0.07435032,0.0019319527,0.042060345,-0.105967484,-0.06922714,-0.016473945,-0.0023851192,0.0037569671,0.02849859,0.02176348,0.028867114,0.048546147,0.04292032,0.018258432,-0.05041037,0.0005959695,-0.07941115,0.045950547,-0.0585375,0.0045240857,0.008764662,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,0.013495908,0.06535175,-0.003089599,-0.057508968,0.028158145,0.016886804,-0.06526662,-0.038515832,-0.040644985,-0.12628938,-0.0064528855,-0.037200514,0.12771516,-0.23744334,-0.13233921,0.019387797,-0.0062701968,0.038787182,-0.17644066,0.012081641,0.05350318,-0.10726195,-0.02552816,-0.21290106,0.052584186,-0.092614874,0.16947742,-0.08762369,0.06996588,0.020011336,0.1584316,-0.06421045,-0.038362782,-0.025240704,0.06578863,-0.10350305,-0.07857627,-0.13020128,0.15862419,-0.019663468,-0.024140103,0.121024445,-0.03512545,-0.1674733,0.0627801,-0.09535928,-0.08517523,0.15843877,-0.01385362,-0.018970273,0.069093674,-0.107307,-0.013447431,0.056164812,-0.1407805,-0.08268966,-0.021320203,-0.0075926166,0.00065578095,0.030584665,0.032271195,0.035601236,0.049626846,0.035326786,0.03675302,-0.013640202,0.021281397,-0.0364111,0.0066289534,-0.049973868,0.005435245,-0.023447711,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,-0.005519381,0.043096602,0.0014471342,-0.04144775,0.062775336,-0.026251575,-0.06423136,-0.08284315,0.017377835,-0.087039135,-0.013444409,-0.05147883,0.11264124,-0.26239014,-0.14001733,0.01583563,-0.008998494,0.04879926,-0.1957603,0.00792829,0.061675817,-0.118070446,-0.02825642,-0.2626287,0.05789913,-0.08478592,0.18103531,-0.049970314,0.01869493,0.01795623,0.16220447,-0.04754892,-0.029995076,-0.017336907,0.07334312,-0.09227554,-0.066906616,-0.10356933,0.13213517,-0.017000817,-0.012941225,0.09829773,-0.019523783,-0.1701422,0.06841749,-0.08904789,-0.07290973,0.15626547,-0.010058515,-0.0052720606,0.042381067,-0.049883086,-0.00892268,0.04246484,-0.09796463,-0.086494274,-0.009220839,0.005372059,-0.0007878344,0.022593424,0.017338278,0.028988842,0.04115232,0.043504607,0.02063454,-0.01840384,0.036849767,-0.03024272,0.052925028,-0.0215298,0.0051944614,-0.029949382,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,-0.024813354,0.019828526,0.0257771,-0.032174665,0.03344536,-0.005614067,0.010801192,-0.012574064,0.057633713,-0.052408315,-0.016847106,-0.04769362,0.08747589,-0.25897372,-0.12105577,0.014077066,0.012908979,0.059935655,-0.2540457,0.008524332,0.08353606,-0.1419175,-0.031167198,-0.32833606,0.078290775,-0.09319915,0.25507045,-0.021767028,-0.018184839,0.039051227,0.20237167,-0.029599333,-0.03724509,-0.013229926,0.07774369,-0.09554926,-0.07699653,-0.113806754,0.13494909,-0.010963649,-0.015447134,0.08971225,0.00204734,-0.17121676,0.053289972,-0.05554708,-0.055294707,0.13731663,-0.00948397,0.034524266,0.062300768,-0.02997246,0.0026084797,0.03971233,-0.064916775,-0.049042568,-0.0172462,-0.0007575643,-0.019983005,0.005387287,0.03849663,0.021455003,0.040232714,0.037033327,-0.0068451585,-0.008663181,0.059168357,-0.03174302,0.062968396,0.0063458853,-0.033311374,-0.06762669,1.0
