,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,LABEL
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,0.8919905,0.58319896,1.7544732,-0.2551695,-0.60099804,0.6419999,0.8641221,0.9535752,-0.115539,0.35629717,0.24338728,-0.38997123,-0.2779183,0.37255108,-0.21657221,-0.28086168,1.4885489,0.3647302,0.37796712,-0.47698292,-0.5068329,0.33750287,0.5603371,0.39089507,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,-0.82050186,0.27938578,0.3697082,-1.2389028,0.029120686,0.5563478,0.5686517,0.23776527,-0.31685513,0.5635353,-0.6342833,-0.11603326,0.1597045,0.689774,0.26348874,0.30798176,0.072043784,0.21834907,1.0244942,-0.32255608,-0.7768403,0.0429179,0.20273766,0.60944015,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,-0.70547026,1.3711067,0.8467904,-0.57170904,0.18814844,0.28448248,0.29716757,1.6319968,-0.7446162,0.14183159,-0.2221854,-0.21468595,-0.9904608,0.22047932,0.44260776,-0.6894844,-0.029919863,-0.71006703,1.1004305,-0.6628709,-0.77525777,0.4793497,0.27878866,0.22548254,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,-0.08990807,1.3204494,1.1593335,-0.26683357,0.53935504,0.12010836,0.09669786,0.84330964,-0.11820731,0.66492885,-0.72348267,-0.31472638,-0.42374805,-0.62721384,0.7127836,-1.1132178,0.57633287,0.13181975,1.4185616,-0.8765849,-0.17554323,0.44472736,-0.491516,0.15923695,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,0.28691024,1.2769499,0.73631865,0.33336917,-0.17752975,0.1919094,0.4173334,0.8639243,0.2924676,0.41755444,-0.364235,-0.5632346,0.1996801,0.08037144,0.17875278,-1.3709846,0.9136793,0.5176254,-0.16053525,-0.60874313,-1.0490122,0.19642556,-0.17109814,-0.41538948,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,0.53105193,0.99044436,0.8788622,-1.2490942,0.029676056,-0.29017386,-0.08687747,1.4888031,1.1704519,0.45977953,-0.33972356,-0.14898382,-0.0071503185,0.35366783,-0.00037743273,-1.0079135,0.81048393,-0.3565876,0.4865994,-0.7372991,-0.6621035,-0.07797124,-0.6994374,0.10245661,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,0.23988804,0.30894002,0.9752612,-0.117261976,-1.0617651,-0.1845642,0.66902614,1.0286144,1.1161336,0.3976031,-0.35945645,-0.9338961,-0.42283785,-0.37535724,-0.8098641,-1.0061158,0.75729626,0.20281097,0.5810822,-0.27844036,-0.5670002,-0.16394617,0.616911,0.12962207,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,0.5110675,1.0184683,1.5453318,-0.7917876,-0.82818663,0.37474746,0.7528828,0.5735972,-0.059093002,0.22518833,-0.13764828,-0.13278572,-0.8186593,0.6311162,-0.01939858,-0.69198257,1.2400014,-0.2810739,-0.008421418,-0.21352696,-0.8872492,-0.08239596,-0.11597841,0.1860434,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,0.69636106,0.64507896,1.3286045,-0.61596835,-1.0393159,-0.8129676,0.1437766,-0.011405042,-0.13439485,-0.29832897,0.07505741,0.6520661,-0.32708144,-0.107996084,0.4925266,-0.6332503,1.0150604,0.55512005,0.7193165,-1.3131655,-0.30226162,-0.25347644,0.07750231,0.30550653,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,0.59567803,0.55056137,1.2440289,-1.0466244,0.085382015,0.4201363,0.7359005,1.3104237,-0.3728269,0.37910965,0.18588121,-0.61544436,-0.5881306,0.8048784,-0.12761147,-1.0007629,0.96363306,-0.8792603,0.22335957,-0.57263124,-1.1748459,-0.12521373,-0.37650374,0.4194041,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,0.45471805,0.7339916,0.860111,-1.0647882,-0.53966933,-0.11831288,0.44235754,0.8075185,-0.7470459,-0.5602422,-0.07529774,0.09241591,-0.16170584,0.5111623,0.49236083,-1.1588203,1.4100045,1.593103,0.40824065,-0.71880007,-0.82593155,-0.6584534,-0.25765836,0.5693042,1.0
