,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,-0.0032173062,-0.2527508,-0.16778038,0.25484446,0.22722477,-0.260033,-0.010065922,0.13030624,-0.095033325,0.1514171,-0.0027392406,0.07919258,-0.07313312,0.1713747,0.27000508,0.31580642,-0.59409803,-0.39069512,0.10742254,0.4801948,0.5883328,0.76978165,-1.0087652,0.42208993,0.13131087,-0.12423365,-0.37540346,0.22731625,-0.46511474,-0.36689633,0.3804861,-0.2700013,-0.33957893,0.17896393,-0.555561,0.40786734,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,0.09079172,0.11372853,-0.18337388,-0.022108449,-0.28038812,-0.5406357,-0.021207256,-0.5263154,0.3288973,0.058348216,-0.24760933,-0.5304672,-0.22889419,-0.24573776,0.39825824,-0.0433611,-0.2726521,-0.5189093,-0.32239714,-0.48992547,0.025833633,0.012001089,-0.71226454,-0.21853349,-0.26363084,0.39683372,0.03190174,-0.3913494,-0.023798862,-0.84216446,0.22037907,-0.21730919,0.24615447,-0.0032151458,0.054362547,-0.12150866,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,-0.13653639,-0.43449196,0.3000059,0.47885472,-0.25513366,0.28464237,0.85408676,-0.28990942,-0.0034108334,0.1787945,-0.23681697,0.059043325,-0.07440429,0.027503207,-0.08043825,0.25239855,0.068404645,-0.8539446,-0.28643176,-0.2655222,-0.12129531,0.9826896,-0.06574069,0.28869015,-0.8001774,0.12169609,0.52494925,-0.44310415,0.16012655,-0.024363413,-0.122307405,-0.26607853,0.049918104,-0.38394767,0.1558063,0.58677554,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,0.27107462,-0.19354402,-0.24098215,0.72324115,0.48635867,-0.86548626,0.30642208,-0.043304168,-0.05413117,0.6114332,-0.07074592,1.0545412,0.27125752,0.36429074,0.42212182,0.18940257,0.5331305,0.13806476,0.017168608,-0.2913315,0.3619236,0.28291187,-1.1452075,-0.42280868,0.16297898,0.34901896,0.8001586,0.49917647,-0.64149934,-0.101390995,-0.031449728,0.26581585,-0.61131454,-0.3767759,0.15194932,0.6440761,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,0.5325851,-0.22409502,-0.34608924,-0.22480102,-0.11784723,0.14620025,0.27581263,0.049928613,-0.02323752,1.0250331,0.2212673,0.111482866,0.2743243,-0.06298908,0.20310609,0.07433084,-0.22296815,-0.18074134,-0.05636179,0.67417306,0.038680382,0.722111,-0.83819175,0.53581846,0.53982127,0.4331071,-0.17218244,0.2275744,-0.8058265,-0.042707622,0.18547721,-0.29765588,0.5788467,-0.19879663,-0.4805656,0.44141772,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,0.032517906,-0.2141999,-0.4031422,0.2920496,-0.28327185,-0.18257162,0.12674856,-0.2322063,-0.025460804,-0.344602,-0.79038733,-0.33228317,-0.1883271,-0.14466093,0.38349363,-0.15856425,0.08122745,-0.0027662893,-0.116176136,0.14115839,-0.046495635,0.26558295,-0.49755654,0.08796473,-0.490017,-0.26903537,0.24779247,-0.09471591,-0.67036223,-0.59939736,-0.36853313,-0.3278621,0.34268147,-0.16361953,-0.40098533,-0.6237598,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,-0.20108785,-0.96886593,-0.21800908,-0.37238714,-0.30393267,0.5013349,0.15426385,-0.37822813,0.08117169,-0.15955952,0.43671307,0.30403218,-0.26071173,0.62025565,0.52466655,0.31765732,-0.20923786,-0.12886293,-0.22226362,-0.15482222,0.14809993,-0.02966462,-0.47424132,0.11702656,0.090889975,0.5083454,0.22138965,0.44192323,-0.80111605,-0.16270757,-0.10268225,0.49241868,-0.25537252,0.22704,-0.07799056,0.44532666,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,0.31115693,-0.09245591,0.036929846,-0.18273531,0.88846606,-0.34171054,0.22949506,-0.024682468,-0.336033,0.02746039,0.19512965,0.52526087,0.14741716,0.13647778,0.4585122,0.00032756117,-0.22696047,-0.93969554,-0.42795786,0.17068297,0.23277442,-0.3792445,-0.23437367,0.10627582,0.17004414,-0.553909,0.38195097,-0.36559516,-0.8620162,0.16517062,0.1438196,-0.23997232,-0.6091335,0.32844752,0.30839851,0.0036620586,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,0.49277472,-0.36739796,0.13716581,0.094644316,0.11970821,-0.15478136,0.57275397,-0.3999375,-0.05930096,-0.62501544,-0.158982,0.5550565,0.5940852,0.45942998,0.18296964,-0.28522718,-0.7297877,-0.3099112,-0.25361377,0.80642384,0.00050656113,0.14921474,-0.553824,0.08152398,0.0692279,0.47958127,-0.47665524,-0.13751797,-0.81902933,0.47542843,0.43209314,0.24514388,-0.47380993,0.61970896,-0.15032035,0.10689416,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,-0.16153945,-0.15205662,-0.044962462,0.57918745,0.65396935,-0.10948431,0.40736568,-0.070846915,-0.13825451,0.24250752,0.25720486,0.27594763,-0.42738098,0.36870116,0.7675808,0.22462584,-0.5147534,-0.17138408,-0.5552149,0.80534524,-0.3791418,0.35194835,-1.0325611,-0.47836286,0.09682303,0.097407304,-0.0486867,-0.34777826,-0.9741225,-0.34256208,-0.22795956,0.057417765,-0.78983206,-0.28560597,-0.14175826,0.27990815,1.0
